Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Other_Sales
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,14.98,1.16
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,14.76,1.32
31,Pok̩mon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,14.64,0.59
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,14.64,1.13
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,14.35,0.79
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,14.24,2.31
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,14.03,2.52
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,13.73,1.12
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,13.51,1.29
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,13.46,1.62
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,13.1,1.3
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,13.04,1.02
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,12.73,1.83
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,12.27,0.88
43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,12.21,0.89
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,12.14,1.21
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,11.98,2.02
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,11.9,0.77
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,11.89,0.23
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,11.66,7.53
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,11.52,0.76
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,11.33,0.65
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,11.18,0.29
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,11.02,1.03
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,10.95,0.52
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,10.79,0.78
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,10.77,2.12
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,10.69,1.63
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,10.57,1.62
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,10.55,0.29
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,10.49,0.35
60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,10.42,0.98
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,10.26,1.07
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,10.21,0.82
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,9.88,0.78
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,9.87,0.15
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,9.82,0.63
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,9.76,0.73
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,9.72,0.96
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,9.59,1.38
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,9.52,0.78
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,9.49,0.5
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,9.32,0.9
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,9.3,0.23
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,9.2,0.77
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,9.09,0.41
75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,9.02,0.7
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,8.84,0.85
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,8.76,0.18
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,8.49,1.26
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,8.49,0.68
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,8.49,0.08
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,8.42,0.73
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,8.33,0.43
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,8.24,2.01
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,8.11,0.71
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,8.09,0.15
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,8.06,0.91
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,8.05,0.33
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,7.86,0.23
89,Pok̩mon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,7.84,0.55
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,7.81,0.08
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,7.72,1.75
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,7.69,0.64
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,7.67,1.23
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,7.6,1.37
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,7.6,0.16
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,7.58,0.31
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,7.46,0.19
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,7.45,0.43
99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0,7.37,0.69
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,7.34,0.69
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,7.31,0.7
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,7.3,0.67
103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,7.27,0.73
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,7.23,1.1
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,7.2,1.02
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,7.16,0.29
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,7.13,0.28
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,7.07,0.22
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,6.96,0.49
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,6.96,1.1
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,6.95,0.19
112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,6.91,0.56
113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,6.9,1.73
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,6.9,1.09
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,6.83,0.99
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,6.83,1.06
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,6.82,0.3
118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0,6.81,0.67
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,6.76,0.64
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,6.73,1
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,6.72,1.04
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,6.69,1.42
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,6.67,0.62
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,6.6,1.03
125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,6.59,1.47
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,6.59,0.47
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,6.56,1.05
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,6.51,0.14
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,6.5,1.14
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,6.43,0.07
131,Pok̩mon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,6.41,0.21
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,6.4,0.07
133,Pok̩mon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,6.39,0.99
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,6.36,0.61
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,6.34,0.57
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,6.31,0.17
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,6.3,0.12
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0,6.28,0
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,6.27,0.33
140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,6.24,0.51
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,6.24,0.49
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,6.11,0.6
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,6.05,0.72
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,6.03,0.19
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,6.03,0.83
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,6.03,0.24
147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,5.99,1.01
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,5.95,1.74
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,5.92,0.9
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,5.84,0.15
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0,5.83,0.53
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,5.82,0.45
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,5.74,0.23
154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,5.72,0.58
155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,5.65,0.96
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,5.58,0.11
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,5.57,0.87
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,5.55,0.04
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,5.55,0.55
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,5.53,0.8
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,5.51,0.51
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,5.5,0.34
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,5.49,0.2
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,5.47,0.23
165,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,5.46,0.2
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,5.45,0.09
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0,5.43,0.84
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,5.42,0.82
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,5.42,0.94
170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,5.36,0.52
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,5.34,0.2
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,5.31,0.16
173,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,5.3,0.44
174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,5.3,0.14
175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,5.29,0.17
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,5.27,0.06
177,Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,5.27,0.51
178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,5.26,0.52
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,5.24,0.28
180,Madden NFL 2004,PS2,2003,Sports,Electronic Arts,4.26,0.26,0.01,5.23,0.71
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,5.21,0.2
182,Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0,5.2,0.62
183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,5.2,0.2
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,5.19,0.31
185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,5.19,0.15
186,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,5.18,0.58
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,5.17,0.49
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,5.15,0.11
189,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,5.15,0.28
190,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.64,2.48,0.44,5.14,0.58
191,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,5.13,0.8
192,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,5.13,0.11
193,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,5.13,0.38
194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.21,1.53,0.01,5.13,0.38
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,5.12,0.2
196,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,5.12,0.68
197,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.43,1.08,5.11,0.65
198,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0,5.08,0.41
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,5.08,1.21
200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,5.08,1.13
201,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,5.07,0.22
202,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,5.05,0.73
203,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,5.02,0.2
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,5.02,0.57
205,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,5.01,0.33
206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,5,0.21
207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,5,0.46
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,4.98,1.48
209,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,4.96,0.44
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,4.96,0.37
211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,4.94,0.78
212,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,4.91,0.66
213,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.89,1.54,0,4.9,0.46
214,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,4.88,0.1
215,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4.87,4.87,0
216,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,4.85,0.1
217,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,4.84,0.63
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.56,1.68,0,4.83,0.59
219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,4.83,0.83
220,FIFA 15,PS3,2014,Sports,Electronic Arts,0.57,3.14,0.04,4.82,1.07
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,4.79,0.21
222,FIFA 17,PS4,2016,Sports,Electronic Arts,0.28,3.75,0.06,4.77,0.69
223,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,4.76,0.41
224,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,4.73,0.25
225,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0,4.7,0.79
226,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,4.68,0.2
227,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,4.68,0.37
228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,4.67,0.7
229,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,4.64,0.47
230,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,4.63,0.24
231,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.06,1.12,0,4.62,0.44
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,4.61,0.13
233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,4.6,0.13
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.89,1.99,0.22,4.58,0.48
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.78,1.39,1.1,4.58,0.3
236,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,4.57,0.43
237,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,4.55,0.82
238,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.92,0.01,4.53,0.42
239,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,4.53,0.08
240,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,4.5,0.05
241,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,4.49,0.61
242,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,4.48,0.23
243,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,4.47,0.02
244,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,4.47,0.74
245,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.54,1.94,0.19,4.45,0.77
246,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,4.45,0.43
247,Nintendo Land,WiiU,2012,Misc,Nintendo,2.55,1.11,0.46,4.44,0.33
248,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,4.42,0.39
249,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,4.41,0.46
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,4.39,0.86
251,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,4.39,0.4
252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,4.38,0.08
253,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,4.37,0.47
254,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,4.35,0.75
255,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,4.34,0.13
256,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,4.33,0.17
257,FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.93,0.01,4.31,0.46
258,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.75,1.18,0,4.31,0.37
259,Asteroids,2600,1980,Shooter,Atari,4,0.26,0,4.31,0.05
260,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,4.31,0.41
261,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,4.26,0.39
262,Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.11,0.72,4.25,0.3
263,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.23,1.34,0.07,4.25,0.61
264,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.02,0.1,4.24,0.72
265,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3,1.11,0.05,4.24,0.07
